trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,down,0.005,db,0.049370781787343304,0.00035969999953522347,110.36937200000102,110.36937200000102,110.66879960000006,0,0,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,up,0.005,db,0.04939921007542057,0.0003558999997039791,112.83563830000094,112.83563830000094,113.13540120000107,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,up,0.005,db,0.04939921007542057,0.0003692999998747837,115.33536150000145,115.33536150000145,115.63534160000017,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,up,0.005,db,0.04939921007542057,0.00036300000101618934,117.75209450000148,117.75209450000148,118.05225830000018,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,down,0.005,db,0.049370781787343304,0.00037229999907140154,120.2022878000007,120.2022878000007,120.50203260000126,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,down,0.005,db,0.049370781787343304,0.0003530000012688106,122.68549370000073,122.68549370000073,122.98524160000125,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,down,0.005,db,0.049370781787343304,0.00036270000055083074,125.13541900000018,125.13541900000018,125.43517610000163,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,down,0.005,db,0.0493423698591949,0.0004133000002184417,127.55187680000017,127.55187680000017,127.85207609999998,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,down,0.005,db,0.0493423698591949,0.00036580000050889794,129.98518839999997,129.98518839999997,130.28522520000115,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,down,0.005,db,0.0493423698591949,0.00039760000072419643,132.43531370000164,132.43531370000164,132.73533960000168,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
