1.9228 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
45.4535 	EXP 	grating: autoDraw = False
45.5049 	EXP 	window1: recordFrameIntervals = False
45.5056 	DATA 	Keypress: left
45.5201 	EXP 	fixation: autoDraw = False
45.5201 	EXP 	grating: autoDraw = False
45.5203 	EXP 	window1: recordFrameIntervals = False
46.5040 	EXP 	fixation: autoDraw = True
47.5035 	EXP 	fixation: autoDraw = False
47.5199 	EXP 	grating: autoDraw = True
47.5199 	EXP 	grating: tex = 'sin'
47.8200 	EXP 	grating: autoDraw = False
47.8714 	EXP 	window1: recordFrameIntervals = False
47.8721 	DATA 	Keypress: left
47.8865 	EXP 	fixation: autoDraw = False
47.8865 	EXP 	grating: autoDraw = False
47.8867 	EXP 	window1: recordFrameIntervals = False
48.8705 	EXP 	fixation: autoDraw = True
49.8700 	EXP 	fixation: autoDraw = False
49.8700 	EXP 	grating: autoDraw = True
49.8700 	EXP 	grating: tex = 'sin'
50.1701 	EXP 	grating: autoDraw = False
50.2379 	EXP 	window1: recordFrameIntervals = False
50.2386 	DATA 	Keypress: left
50.2533 	EXP 	fixation: autoDraw = False
50.2533 	EXP 	grating: autoDraw = False
50.2535 	EXP 	window1: recordFrameIntervals = False
51.2371 	EXP 	fixation: autoDraw = True
52.2367 	EXP 	fixation: autoDraw = False
52.2367 	EXP 	grating: autoDraw = True
52.2367 	EXP 	grating: tex = 'sin'
52.5367 	EXP 	grating: autoDraw = False
52.7214 	EXP 	window1: recordFrameIntervals = False
52.7221 	DATA 	Keypress: right
52.7365 	EXP 	fixation: autoDraw = False
52.7365 	EXP 	grating: autoDraw = False
52.7367 	EXP 	window1: recordFrameIntervals = False
53.7208 	EXP 	fixation: autoDraw = True
54.7367 	EXP 	fixation: autoDraw = False
54.7367 	EXP 	grating: autoDraw = True
54.7367 	EXP 	grating: tex = 'sin'
55.0368 	EXP 	grating: autoDraw = False
55.1547 	EXP 	window1: recordFrameIntervals = False
55.1555 	DATA 	Keypress: left
55.1700 	EXP 	fixation: autoDraw = False
55.1700 	EXP 	grating: autoDraw = False
55.1702 	EXP 	window1: recordFrameIntervals = False
56.1536 	EXP 	fixation: autoDraw = True
57.1533 	EXP 	fixation: autoDraw = False
57.1703 	EXP 	grating: autoDraw = True
57.1703 	EXP 	grating: tex = 'sin'
57.4697 	EXP 	grating: autoDraw = False
57.7378 	EXP 	window1: recordFrameIntervals = False
57.7385 	DATA 	Keypress: right
57.7533 	EXP 	fixation: autoDraw = False
57.7533 	EXP 	grating: autoDraw = False
57.7534 	EXP 	window1: recordFrameIntervals = False
58.7370 	EXP 	fixation: autoDraw = True
59.7366 	EXP 	fixation: autoDraw = False
59.7532 	EXP 	grating: autoDraw = True
59.7532 	EXP 	grating: tex = 'sin'
60.0532 	EXP 	grating: autoDraw = False
60.0881 	EXP 	window1: recordFrameIntervals = False
60.0889 	DATA 	Keypress: left
60.1033 	EXP 	fixation: autoDraw = False
60.1033 	EXP 	grating: autoDraw = False
60.1034 	EXP 	window1: recordFrameIntervals = False
61.0868 	EXP 	fixation: autoDraw = True
62.0863 	EXP 	fixation: autoDraw = False
62.1032 	EXP 	grating: autoDraw = True
62.1032 	EXP 	grating: tex = 'sin'
62.4032 	EXP 	grating: autoDraw = False
62.5713 	EXP 	window1: recordFrameIntervals = False
62.5721 	DATA 	Keypress: left
62.5865 	EXP 	fixation: autoDraw = False
62.5865 	EXP 	grating: autoDraw = False
62.5867 	EXP 	window1: recordFrameIntervals = False
63.5704 	EXP 	fixation: autoDraw = True
64.5697 	EXP 	fixation: autoDraw = False
64.5697 	EXP 	grating: autoDraw = True
64.5697 	EXP 	grating: tex = 'sin'
64.8698 	EXP 	grating: autoDraw = False
65.0211 	EXP 	window1: recordFrameIntervals = False
65.0218 	DATA 	Keypress: left
65.0364 	EXP 	fixation: autoDraw = False
65.0364 	EXP 	grating: autoDraw = False
65.0366 	EXP 	window1: recordFrameIntervals = False
66.0201 	EXP 	fixation: autoDraw = True
67.0198 	EXP 	fixation: autoDraw = False
67.0198 	EXP 	grating: autoDraw = True
67.0198 	EXP 	grating: tex = 'sin'
67.3196 	EXP 	grating: autoDraw = False
67.3710 	EXP 	window1: recordFrameIntervals = False
67.3718 	DATA 	Keypress: left
67.3865 	EXP 	fixation: autoDraw = False
67.3865 	EXP 	grating: autoDraw = False
67.3867 	EXP 	window1: recordFrameIntervals = False
68.3701 	EXP 	fixation: autoDraw = True
69.3697 	EXP 	fixation: autoDraw = False
69.3697 	EXP 	grating: autoDraw = True
69.3697 	EXP 	grating: tex = 'sin'
69.6697 	EXP 	grating: autoDraw = False
69.7043 	EXP 	window1: recordFrameIntervals = False
69.7050 	DATA 	Keypress: left
69.7195 	EXP 	fixation: autoDraw = False
69.7195 	EXP 	grating: autoDraw = False
69.7197 	EXP 	window1: recordFrameIntervals = False
70.7035 	EXP 	fixation: autoDraw = True
71.7029 	EXP 	fixation: autoDraw = False
71.7029 	EXP 	grating: autoDraw = True
71.7029 	EXP 	grating: tex = 'sin'
72.0031 	EXP 	grating: autoDraw = False
72.0709 	EXP 	window1: recordFrameIntervals = False
72.0716 	DATA 	Keypress: left
72.0861 	EXP 	fixation: autoDraw = False
72.0861 	EXP 	grating: autoDraw = False
72.0863 	EXP 	window1: recordFrameIntervals = False
73.0701 	EXP 	fixation: autoDraw = True
74.0697 	EXP 	fixation: autoDraw = False
74.0697 	EXP 	grating: autoDraw = True
74.0697 	EXP 	grating: tex = 'sin'
74.3695 	EXP 	grating: autoDraw = False
74.4044 	EXP 	window1: recordFrameIntervals = False
74.4052 	DATA 	Keypress: right
74.4196 	EXP 	fixation: autoDraw = False
74.4196 	EXP 	grating: autoDraw = False
74.4198 	EXP 	window1: recordFrameIntervals = False
75.4034 	EXP 	fixation: autoDraw = True
76.4030 	EXP 	fixation: autoDraw = False
76.4194 	EXP 	grating: autoDraw = True
76.4194 	EXP 	grating: tex = 'sin'
76.7195 	EXP 	grating: autoDraw = False
76.7879 	EXP 	window1: recordFrameIntervals = False
76.7886 	DATA 	Keypress: right
76.8027 	EXP 	fixation: autoDraw = False
76.8027 	EXP 	grating: autoDraw = False
76.8029 	EXP 	window1: recordFrameIntervals = False
77.7866 	EXP 	fixation: autoDraw = True
78.7860 	EXP 	fixation: autoDraw = False
78.8028 	EXP 	grating: autoDraw = True
78.8028 	EXP 	grating: tex = 'sin'
79.1029 	EXP 	grating: autoDraw = False
79.2377 	EXP 	window1: recordFrameIntervals = False
79.2385 	DATA 	Keypress: right
79.2528 	EXP 	fixation: autoDraw = False
79.2528 	EXP 	grating: autoDraw = False
79.2530 	EXP 	window1: recordFrameIntervals = False
80.2368 	EXP 	fixation: autoDraw = True
81.2363 	EXP 	fixation: autoDraw = False
81.2527 	EXP 	grating: autoDraw = True
81.2527 	EXP 	grating: tex = 'sin'
81.5530 	EXP 	grating: autoDraw = False
81.7042 	EXP 	window1: recordFrameIntervals = False
81.7049 	DATA 	Keypress: left
81.7196 	EXP 	fixation: autoDraw = False
81.7196 	EXP 	grating: autoDraw = False
81.7214 	EXP 	window1: recordFrameIntervals = False
82.7043 	EXP 	fixation: autoDraw = True
83.7026 	EXP 	grating: autoDraw = True
83.7026 	EXP 	grating: tex = 'sin'
83.7193 	EXP 	fixation: autoDraw = False
84.0026 	EXP 	grating: autoDraw = False
84.0707 	EXP 	window1: recordFrameIntervals = False
84.0714 	DATA 	Keypress: right
84.0860 	EXP 	fixation: autoDraw = False
84.0860 	EXP 	grating: autoDraw = False
84.0861 	EXP 	window1: recordFrameIntervals = False
85.0697 	EXP 	fixation: autoDraw = True
86.0694 	EXP 	fixation: autoDraw = False
86.0694 	EXP 	grating: autoDraw = True
86.0694 	EXP 	grating: tex = 'sin'
86.3696 	EXP 	grating: autoDraw = False
86.4208 	EXP 	window1: recordFrameIntervals = False
86.4215 	DATA 	Keypress: right
86.4359 	EXP 	fixation: autoDraw = False
86.4359 	EXP 	grating: autoDraw = False
86.4360 	EXP 	window1: recordFrameIntervals = False
87.4197 	EXP 	fixation: autoDraw = True
88.4194 	EXP 	fixation: autoDraw = False
88.4361 	EXP 	grating: autoDraw = True
88.4361 	EXP 	grating: tex = 'sin'
88.7361 	EXP 	grating: autoDraw = False
